index,alpha_over_pi,z_over_pi,z,relative_field_error,relative_intensity_error,boundary_max_intensity
0,0.0,0.0,0.0,1.1616114230923042e-16,2.3736198555506804e-16,4.532412033495336e-12
1,0.2,0.1,0.3141592653589793,0.0011217814440525745,0.0006492869442590996,4.5911900559686856e-14
2,0.4,0.2,0.6283185307179586,0.0021423423046182553,0.0011184996766727467,3.4332982135298574e-10
3,0.6,0.3,0.9424777960769379,0.003098122899811217,0.001122338117494899,3.4867350376712793e-10
4,0.8,0.4,1.2566370614359172,0.004034605509011859,0.0006519560811360825,4.603239173385008e-13
5,1.0,0.5,1.5707963267948966,0.005002484463254147,7.1509044553681664e-06,9.129735784329261e-12
