index,alpha_over_pi,z_over_pi,z,relative_field_error,relative_intensity_error,boundary_max_intensity
0,0.0,0.0,0.0,1.1698448965363453e-16,2.3388995691878055e-16,7.561869659715178e-11
1,0.2,0.1,0.3141592653589793,0.0011218330107065472,0.0006490127061911274,3.063014122701275e-13
2,0.4,0.2,0.6283185307179586,0.002142418768901571,0.0011236037546318346,3.0140528199933425e-11
3,0.6,0.3,0.9424777960769379,0.0030978151734256405,0.0011237719836596945,2.983062943166276e-11
4,0.8,0.4,1.2566370614359172,0.004034230407402651,0.0006490705389623838,1.9338858926586493e-12
5,1.0,0.5,1.5707963267948966,0.0050019737881842686,4.5512987093881675e-06,1.5339541404382668e-10
