index,alpha_over_pi,z_over_pi,z,relative_field_error_vs_w0_analytic,relative_intensity_error_vs_w0_analytic,boundary_max_intensity
0,0.0,0.0,0.0,1.366623424863698e-16,2.6996109245365807e-16,3.922908304487404e-08
1,0.2,0.1,0.3141592653589793,0.0007515225061579794,0.00043591038671233676,1.3303110541093536e-08
2,0.4,0.2,0.6283185307179586,0.0014319717850705541,0.0007758266027330932,1.715112839610042e-10
3,0.6,0.3,0.9424777960769379,0.002080370477200029,0.0007470807790262133,1.8257315352153484e-10
4,0.8,0.4,1.2566370614359172,0.0027124013852946297,0.0003934076152124466,9.954611494064407e-09
5,1.0,0.5,1.5707963267948966,0.0033623887109115176,8.510851861519014e-05,6.186897554272057e-08
