index,alpha_over_pi,z_over_pi,z,relative_field_error_vs_w0_analytic,relative_intensity_error_vs_w0_analytic,boundary_max_intensity
0,0.0,0.0,0.0,7.494447503837273e-16,3.0587218482778095e-16,7.337732682763913e-11
1,0.2,0.1,0.3141592653589793,0.0007494792251507324,0.00042686505759701864,6.581540564774388e-10
2,0.4,0.2,0.6283185307179586,0.0014318757913624916,0.0007215415105297092,6.724894558406519e-09
3,0.6,0.3,0.9424777960769379,0.0020744390129875984,0.0007486820594317817,7.023839764872871e-09
4,0.8,0.4,1.2566370614359172,0.00270472138144367,0.00047078790283815305,6.278332810431597e-10
5,1.0,0.5,1.5707963267948966,0.003357857518641559,7.337732873270813e-05,1.30097383653732e-10
