index,alpha_over_pi,z_over_pi,z,relative_field_error,relative_intensity_error,boundary_max_intensity
0,0.0,0.0,0.0,1.166775083713936e-16,2.343515443756951e-16,2.1481375820129423e-09
1,0.2,0.1,0.3141592653589793,0.0011221078416753813,0.0006489606104150522,9.39199413013994e-12
2,0.4,0.2,0.6283185307179586,0.002142559166406208,0.0011322169759386993,9.3847796975841e-12
3,0.6,0.3,0.9424777960769379,0.003098375333224647,0.0011315449031172049,1.4350503442697238e-11
4,0.8,0.4,1.2566370614359172,0.004034649770191565,0.0006430029540285927,3.3935108230066924e-11
5,1.0,0.5,1.5707963267948966,0.005002765608022418,1.5352136284873907e-05,4.337657002912758e-09
